text,intent,source
"कृपया अब आपने जो कहा है, उसके बारे में मुझे और अधिक बताएं।",answer_query,hwu64
किस पर सेब का कारोबार हो रहा है,answer_query,hwu64
यह सब सापेक्ष मतलब क्या है,answer_query,clinc150
मीका सिंह कितने साल के हैं,answer_query,massive
आपका जवाब इतना स्पष्ट नहीं था।,answer_query,hwu64
मुझे एक मज़ेदार चुटकुला सुनाओ,answer_query,hwu64
स्थानीय दुकानों में डेयरी वस्तुओं की कीमतों की तुलना करें,answer_query,hwu64
एक सौ छत्तीस जमा तीन सौ सत्तासी कितना होता है,answer_query,hwu64
अरे मैंने आज ही अपना बटुआ खो दिया है,answer_query,massive
मैं आपसे पूरी तरह से नहीं मिल सका।,answer_query,hwu64
अरिजित सिंह का पृष्टभूमि,answer_query,massive
कुछ अच्छे चुटकुले खोलें,answer_query,hwu64
दो गुना तीन का जवाब क्या है,answer_query,hwu64
दिल्ली में मौसम कैसा है,answer_query,clinc150
दो नंबर चार और छह का योग क्या है,answer_query,massive
धोखा देने का क्या मतलब है,answer_query,clinc150
क्या मुझे स्टार्ट होते समय रोबोट वैक्यूम क्लीनर के बारे में चिंतित होना चाहिए,answer_query,massive
मुझे एक सप्ताह में सिक्स पैक पाने के लिए सबसे अच्छे व्यायाम के बारे में बताओ,answer_query,massive
रूस कितना बड़ा है,answer_query,hwu64
स्टॉक गूगल पता लगाएँ,answer_query,hwu64
उत्साह को परिभाषित करें,answer_query,clinc150
अगर मैं 200000 जीतता हूं तो मैं इसे 7 तरीकों से कैसे विभाजित करूं?,answer_query,clinc150
मुझे अंटार्कटिका के बारे में एक दिलचस्प तथ्य दें,answer_query,clinc150
हाथियों के बारे में मजेदार तथ्य क्या है,answer_query,clinc150
मुझे इस व्यक्ति के बारे में बताएँ,answer_query,hwu64
तीन जमा तीन सौ पचपन क्या है,answer_query,massive
दस प्लस वाई,answer_query,massive
मुझे स्मार्टफोन सॉफ्टवेयर का विवरण दें,answer_query,massive
एक यूरो में कितने अमेरिकी डॉलर हैं,answer_query,hwu64
क्या आप मुझे अपने बारे में थोड़ा बता सकते हैं,answer_query,hwu64
अद्भुत का क्या अर्थ है,answer_query,clinc150
भूखे लोग बच्चे क्यों पैदा करते रहते हैं?,answer_query,hwu64
मेरे पास महीने के लिए डॉलर हैं मैं इस महीने हर दिन कितना खर्च कर सकता हूँ,answer_query,hwu64
मैं शाम पाँच बजे के बाद कोई और कॉल नहीं लेना चाहता,answer_query,massive
क्या आप कृपया मुझे अपने उत्तरों के बारे में अधिक स्पष्ट कर सकते हैं?,answer_query,hwu64
भूखे लोग बच्चे क्यों पैदा करते रहते हैं,answer_query,massive
होंडा शेयर की कीमत,answer_query,hwu64
पेसो की तुलना में डॉलर कितना मजबूत है,answer_query,hwu64
डॉलर की कीमत क्या है,answer_query,hwu64
13 गुना 45 क्या है,answer_query,clinc150
क्या आज देर रात में दस्तानो के लिए पर्याप्त ठंड होगी,answer_query,massive
बहुत निजी,answer_query,hwu64
क्या आप उस दिन के बारे में सोचते हैं जिस दिन आपकी मृत्यु हो जाएगी,answer_query,massive
डॉलोरेस आपका दिन कैसा रहा,answer_query,hwu64
ब्रैड पिट की उम्र कितनी है,answer_query,hwu64
इस सप्ताह के लिए मौसम का पूर्वानुमान,answer_query,hwu64
मैं इंच को सेंटीमीटर में कैसे बदलूं,answer_query,clinc150
भारत में सबसे ऊंचे पहाड़ कौन से हैं,answer_query,massive
मौसम कैसा दिखता है,answer_query,clinc150
चार जमा पाँच नौ के बराबर होता है,answer_query,hwu64
क्या मुझे कल एक जैकेट चाहिए,answer_query,hwu64
एक पंचभुज पर कितनी भुजाएँ होती हैं,answer_query,hwu64
चम्मच और चम्मच के बीच क्या परिवर्तन होगा,answer_query,clinc150
"""रद्द करना"" शब्द का क्या अर्थ है",answer_query,clinc150
क्या तुम मुझे अपना पसंदीदा रंग बता सकते हो,answer_query,massive
गूगल एस. ई. ओ. के बारे में हाल की सलाह,answer_query,hwu64
क्या आप गणित की समस्या में मेरी मदद करेंगे?,answer_query,clinc150
मुझे हाथियों के बारे में कुछ अच्छा बताएँ,answer_query,clinc150
चार कप में कितने पिंट होते हैं,answer_query,clinc150
कृपया मुझे बबल गम के बारे में एक बहुत ही प्रभावशाली जानकारी दें,answer_query,clinc150
खुद से खोजने के बजाये तुम्हारा उपयोग करने का क्या मतलब है,answer_query,massive
निंटेंडो और सोनी के लिए स्टॉक की कीमतों की तुलना करें और मुझे बताएं कि कौन से बेहतर हैं,answer_query,massive
बारिश का अगला मौका कब है,answer_query,clinc150
क्या आप मुझे बता सकते हैं कि इस सप्ताह गर्मी होगी या नहीं?,answer_query,clinc150
अमेरिका के राष्ट्रपति कौन हैं,answer_query,hwu64
क्या आप मेरे लिए एक पशु मजाक ढूंढ सकते हैं,answer_query,hwu64
जीवन का क्या अर्थ है या इसका क्या रहस्य है,answer_query,clinc150
कितनी ठंड है,answer_query,massive
इस सप्ताह का मौसम पूर्वानुमान,answer_query,massive
सेब की बंद होने वाली कीमत क्या है,answer_query,hwu64
अलार्म को परिभाषित करें,answer_query,hwu64
मैं आपके दिन को थोड़ा बेहतर कैसे बना सकता हूँ,answer_query,massive
पृथ्वी पर सबसे गहरा बिंदु क्या है,answer_query,hwu64
क्या आप मुझे वर्षावन के बारे में एक अच्छी जानकारी दे सकते हैं,answer_query,clinc150
दो से विभाजित चौदह क्या है,answer_query,hwu64
कृपया मुझे एक येन डॉलर के बराबर का विवरण दें,answer_query,hwu64
मिलते हैं।,answer_query,hwu64
मैं आपके उत्तरों के बारे में इतना स्पष्ट नहीं हूँ।,answer_query,hwu64
यह तय करने का सबसे अच्छा तरीका क्या है कि सबसे अच्छा क्या करना है,answer_query,hwu64
मुझे सबसे अच्छी विनिमय दर बताओ,answer_query,massive
क्या मुझे आज के लिए सनस्क्रीन की आवश्यकता है,answer_query,massive
एक पादरी बार में चला जाता है,answer_query,massive
लंदन फैशन वीक में किम कार्दशियन ने क्या पहना था,answer_query,hwu64
मैं इंच को मीटर में कैसे बदल सकता हूँ,answer_query,clinc150
"एस1, कृपया मुझे एक बार फिर अपने उत्तरों के बारे में स्पष्ट करें।",answer_query,hwu64
अभी येन का मूल्य क्या है,answer_query,hwu64
यदि आप 3 को 2 से विभाजित करते हैं तो आपको क्या मिलेगा?,answer_query,clinc150
पाउंड में एक डॉलर कितना है,answer_query,hwu64
मुझे यह जानने की जरूरत है कि दो गैलन में कितने कप होते हैं,answer_query,clinc150
इलाहाबाद में अब कितने लोग रहते हैं,answer_query,massive
एक्सिस बैंक स्टॉक के लिए क्या दर चल रही है,answer_query,massive
जीवन का अर्थ है,answer_query,clinc150
चार्ली चैप्लिन का क्या हुआ,answer_query,hwu64
मुझे मध्ययुगीन युद्ध इंजनों के बारे में बताएँ,answer_query,hwu64
क्या आप मुझे बता सकते हैं कि चैज़ क्या होता है,answer_query,hwu64
नेहा कक्कड़ को अभी कौन डेटिंग कर रहा है,answer_query,massive
चार जमा चार क्या है,answer_query,hwu64
मनमौजी को परिभाषित करें,answer_query,massive
मजाक उड़ाएँ,answer_query,hwu64
लंबे और स्वस्थ जीवन के लिए आपकी क्या सलाह है?,answer_query,hwu64
क्या आप मुझे बता सकते हैं कि मेरे जूते का आकार कैसे मापें,answer_query,massive
मुझे बताएँ कि अर्बोरियल शब्द का क्या अर्थ है,answer_query,clinc150
जेस्टी की परिभाषा क्या है,answer_query,clinc150
इस शब्द का क्या मतलब है,answer_query,massive
आप इंच को सेंटीमीटर में कैसे बदलते हैं,answer_query,clinc150
वे अभी हमारे लिए कौन सा गाना बजा रहे हैं,answer_query,clinc150
डॉलर और यूरो के बीच वर्तमान विनिमय दर क्या है,answer_query,hwu64
जापान में मुद्रा की विनिमय दर क्या होगी,answer_query,hwu64
कृपया इसे परिभाषित करें,answer_query,massive
क्या आप पाँच ले सकते हैं और इसे तीन से विभाजित कर सकते हैं,answer_query,massive
रुबिक घन का माप क्या है,answer_query,massive
मुझे कवच शब्द की परिभाषा दें,answer_query,massive
फ्रैंक सिनात्रा का जन्म कब हुआ था,answer_query,hwu64
अरे मुझे अच्छा लग रहा है,answer_query,massive
डाउनलोड प्रबंधन,answer_query,hwu64
"एस1, इसे आगे दोहराएँ।",answer_query,hwu64
क्या आप एम. टी. एवरेस्ट के बारे में कोई मजेदार तथ्य जानते हैं,answer_query,clinc150
1 पाँचवाँ गुना 2 पाँचवाँ क्या है,answer_query,clinc150
मैकडॉनल्ड्स स्टॉक की वर्तमान कीमत क्या है,answer_query,hwu64
मुझे दस डॉलर से यूरो की विनिमय दर बताएँ,answer_query,hwu64
मैं चाहता हूं कि न केवल मुझे किसी इंटरनेट साइट पर निर्देशित किया जाए बल्कि वास्तव में किसी भी प्रश्न का उत्तर दिया जाए,answer_query,hwu64
आज ठीक था,answer_query,massive
एक डॉलर को रुपये में बदलें,answer_query,hwu64
बाहर कैसा लगता है,answer_query,hwu64
अमेज़न नदी की लंबाई कितनी है,answer_query,hwu64
कल से मेन में कितनी बर्फबारी हुई है,answer_query,hwu64
मैं इस गीत का नाम जानना चाहता हूँ,answer_query,clinc150
क्या इस समय बाहर धूप है,answer_query,massive
उस स्थान का औसत समुद्र तल क्या है,answer_query,massive
अधिकांश हस्तियां कहाँ घूमती हैं,answer_query,hwu64
मुझे लेब्रोन जेम्स के बारे में कुछ जानकारी दें,answer_query,clinc150
यू. एस. डी. को जी. बी. पी. में बदलें।,answer_query,hwu64
आपको क्या लगता है कि जीवन का क्या अर्थ है?,answer_query,clinc150
अमेरिकी डॉलर और पाउंड की दर में क्या अंतर है,answer_query,hwu64
olly क्या मुझे आज सन स्क्रीन लोशन की आवश्यकता है,answer_query,massive
पाखंड शब्द का क्या अर्थ है,answer_query,hwu64
मेरियम वेबस्टर अल्ट्रा को कैसे परिभाषित करता है,answer_query,hwu64
यू. एस. डी. में जी. बी. पी. कितना है?,answer_query,hwu64
आक्रोश की परिभाषा क्या है,answer_query,massive
रोल्स रॉयस के शेयर की कीमतें,answer_query,hwu64
मुझे इस बात से नफरत है कि ट्रैफिक जाम कितना लंबा हो जाता है,answer_query,hwu64
कृपया मेरी पीठ रगड़ें,answer_query,massive
कनाडाई अमेरिकी विनिमय दर,answer_query,hwu64
मैं जानना चाहता हूँ कि यह कौन सा गीत है,answer_query,clinc150
मुझे आज के मौसम के बारे में बताएं,answer_query,massive
स्टोनहेंज कहाँ है,answer_query,hwu64
सप्ताहांत मौसम पूर्वानुमान क्या है,answer_query,massive
आप इस्पात कैसे बनाते हैं?,answer_query,hwu64
बाइस अमेरिकी डॉलर यूरो में कितना है,answer_query,hwu64
नाइकी के जूतों के बारे में मुझे क्या पता नहीं है,answer_query,clinc150
कृपया आगे समझाएँ।,answer_query,hwu64
हे ओली मुझे एक अच्छे चुटकुला से हंसाओ,answer_query,massive
मियामी फ्लोरिडा में रहने वाले लोगों की संख्या देखें,answer_query,hwu64
क्या आप मुझे कारों के बारे में एक मजेदार तथ्य बता सकते हैं,answer_query,clinc150
अभी मेरे लिए एक अच्छा चुटकुला कहें,answer_query,hwu64
सत्र का क्या अर्थ है,answer_query,hwu64
मोटोरोला आज किस लिए जा रहा है,answer_query,hwu64
जीवन के अर्थ के पीछे क्या है,answer_query,clinc150
क्या मुझे आज की रात दस्ताना को पहनना चाहिए,answer_query,massive
सी. पी. यू. को परिभाषित करें,answer_query,hwu64
कल तापमान कितना रहेगा,answer_query,clinc150
मेरे म्यूचुअल फंड और खाते के लिए स्टॉक की कीमतें देखें,answer_query,hwu64
पवित्र शब्द का क्या अर्थ है,answer_query,hwu64
लोग क्या कहते हैं कि जीवन का क्या अर्थ है या इसका क्या अर्थ है,answer_query,clinc150
उत्साह की परिभाषा,answer_query,clinc150
मैं जानना चाहता हूं कि क्या गणित के संचालन में जोड़ घटाव गुणा या भाग से पहले गणना की जाती है,answer_query,massive
क्या आप कृपया अपनी प्रतिक्रिया के बारे में मुझे फिर से बता सकते हैं।,answer_query,hwu64
इन दिनों स्टारबक का स्टॉक कितना है,answer_query,hwu64
क्या बिंग के शेयरों में गिरावट आई है,answer_query,hwu64
22 मीटर इंच में क्या है,answer_query,clinc150
जीवन किस बारे में है,answer_query,clinc150
कुत्तों के बारे में एक मजेदार तथ्य क्या है,answer_query,clinc150
डेस्क कैसी दिखती है,answer_query,hwu64
माउंट सेंट हेलेंस का अंतिम विस्फोट कब हुआ था,answer_query,hwu64
यह अब बारिश हो रही है,answer_query,massive
यह ट्रैक क्या है,answer_query,clinc150
मैं जान सकता हूं कि वहां मौसम कैसा है,answer_query,massive
पाँच माइनस एक क्या है,answer_query,hwu64
नाम के लिए खुला स्टॉक मूल्य,answer_query,hwu64
नवीनतम चुटकुला क्या है,answer_query,hwu64
मुझे यह ठीक से समझ में नहीं आता।,answer_query,hwu64
चुटकुला सुनाएँ,answer_query,hwu64
रिलायंस आज के लिए क्या चल रहा है,answer_query,massive
बुधवार को मौसम कैसा रहने वाला है,answer_query,hwu64
क्या आप गणित की समस्या को हल करने में मेरी मदद कर सकते हैं,answer_query,clinc150
मैं आपकी प्रतिक्रिया के बारे में स्पष्ट नहीं हूं।,answer_query,hwu64
भारत के बारे में विवरण प्राप्त करें,answer_query,massive
आज का यू एस डॉलर क्या है,answer_query,massive
क्या मुझे आज जैकेट की आवश्यकता होगी,answer_query,massive
मियामी में मौसम कैसा है,answer_query,clinc150
वर्तमान गीत क्या है,answer_query,clinc150
त्रिकोणमिति की गणना कैसे करें,answer_query,massive
मैं विवेकाधीन की परिभाषा जानना चाहता हूँ,answer_query,clinc150
अब क्या,answer_query,massive
क्या भारत श्रीलंका के साथ अपनी सीमा साझा करता है,answer_query,massive
दिल्ली की राजधानी क्या है,answer_query,massive
चॉकलेट चिप कुकी की सबसे अच्छी विधि क्या है,answer_query,hwu64
मुझे मोरेल मशरूम का विवरण ढूंढें,answer_query,hwu64
मंगलवार को मेरी समय सीमा है,answer_query,hwu64
562 गुना 400 क्या है,answer_query,clinc150
अमेरिकी डॉलर और यूरो के बीच विनिमय दर क्या है,answer_query,hwu64
मुझे इस सप्ताह का पूर्वानुमान बताएँ,answer_query,clinc150
मैं आज के लिए मौसम का पूर्वानुमान जानना चाहता हूँ,answer_query,clinc150
"ग्राम में 10 औंस क्या होता है, कृपया",answer_query,clinc150
मैं अंतिम वाक्य के बारे में स्पष्ट नहीं हूँ।,answer_query,hwu64
सात गुना सात,answer_query,hwu64
क्या आप मुझे बता सकते हैं कि मेरे जूतों के आकार को कैसे मापना है,answer_query,hwu64
पिछले सप्ताह मेगाटेल के शेयरों ने कैसा प्रदर्शन किया है,answer_query,hwu64
क्या आप मुझे हाथियों के बारे में एक मजेदार तथ्य बता सकते हैं,answer_query,clinc150
एक कप में कितने चम्मच और चम्मच होते हैं,answer_query,clinc150
इस सप्ताह मौसम पूर्वानुमान,answer_query,massive
पितृसत्ता की परिभाषा क्या है,answer_query,clinc150
बाहर वर्तमान तापमान क्या है,answer_query,hwu64
क्या आप मुझे गणित करने में मदद कर सकते हैं,answer_query,clinc150
रुपये के मुकाबले अमेरिकी डॉलर कितना है,answer_query,hwu64
विवेकाधीन को परिभाषित करें,answer_query,clinc150
मुझे अजहर की परिभाषा पढ़ें,answer_query,clinc150
आज धूप का दिन है या नहीं,answer_query,massive
मुझे मेरा रोबोट पसंद है जो मुझे चित्र या ग्राफिक्स दिखाता है,answer_query,massive
विस्तृत रूप से परिभाषित करें,answer_query,hwu64
मुझे इस समस्या का जवाब दो सौ अड़तालीस जमा छह सौ चौवन दिखाएँ,answer_query,hwu64
क्या कल की तुलना में ठंड है,answer_query,hwu64
कोई मजाकिया चुटकुले,answer_query,massive
बारह को चार से विभाजित करके क्या कहा जाता है,answer_query,hwu64
चार का वर्गमूल क्या है,answer_query,massive
फ्लैंज का क्या मतलब है,answer_query,clinc150
मुझे चम्मच और चम्मच के बीच के परिवर्तन को जानने की जरूरत है,answer_query,clinc150
वो इतने अच्छे से काम कैसे कर लेता है,answer_query,massive
क्या सप्ताहांत में लंदन में बादल छाए रहेंगे,answer_query,hwu64
10 लाख का वर्गमूल क्या है,answer_query,clinc150
"""रद्द"" सकारात्मक अर्थ का एक शब्द है",answer_query,clinc150
इस डंपस्टर आग का क्या मतलब है जिसे जीवन के रूप में जाना जाता है,answer_query,clinc150
एक को दो से विभाजित करके कप से विभाजित करना क्या है,answer_query,hwu64
मैं आपके जवाब के बारे में स्पष्ट नहीं हूं।,answer_query,hwu64
न्यूयॉर्क में अगले सप्ताह के लिए मौसम,answer_query,hwu64
अगले चौदह दिनों में शेयर बाजार के दो सौ चलती औसत से नीचे बंद होने की क्या संभावना है,answer_query,hwu64
मुझे फीनिक्स में तापमान बताएँ,answer_query,hwu64
राम अपनी अंतिम यात्रा पर कहाँ गए थे?,answer_query,hwu64
3143 का 15 प्रतिशत क्या है,answer_query,clinc150
अरे मुझे एक नॉक नॉक चुटकुला सुनाओ,answer_query,hwu64
रामानुजम शादीशुदा थे,answer_query,massive
इन्दिरा गांधी की मृत्यु कैसे हुई,answer_query,massive
मुझे एक अच्छा चुटकुला सुनाओ,answer_query,massive
आज आपका मूड कैसा है,answer_query,hwu64
फोरेंसिक की परिभाषा क्या है,answer_query,hwu64
"आपने अभी जो कहा है, उसके बारे में मैं इतना स्पष्ट नहीं हूं।",answer_query,hwu64
आज कुछ हुआ,answer_query,massive
एम्मा वॉटसन की जिन फिल्मों की अच्छी समीक्षा की गई है,answer_query,hwu64
अभी सेंक्स के शेयर की कीमत क्या है,answer_query,hwu64
आपका क्या मतलब है।,answer_query,hwu64
मुझे अब तक का सबसे मजेदार चुटकुला बताएँ,answer_query,hwu64
पचास एक लाख में कितनी बार जाता है,answer_query,hwu64
कृपया एक बार फिर मुझे अपने उत्तरों के बारे में स्पष्ट करें।,answer_query,hwu64
क्या आप मुझे डाउ निफ़्टी वायदा के लिए सटीक दर दे सकते हैं,answer_query,hwu64
कृपया इस शब्द को खोजें,answer_query,hwu64
मरने से पहले मैं कितना खून बहा सकता हूँ,answer_query,massive
मुझे दो जमा दो का जवाब कैसे मिलेगा?,answer_query,hwu64
कृपया खाने की मेजें खोजें,answer_query,hwu64
रूस कहाँ स्थित है,answer_query,hwu64
क्या बारिश हो रही है,answer_query,clinc150
क्या बाहर गर्मी है,answer_query,clinc150
कृपया मुझे अपने उत्तर के बारे में विस्तार से बताएँ।,answer_query,hwu64
क्या आपको लगता है कि आज का दिन अच्छा रहेगा?,answer_query,hwu64
साठ किलो से कितने पाउंड बनते हैं,answer_query,hwu64
क्या आप बीजगणित कर सकते हैं,answer_query,clinc150
यू. एस. डी. और सी. ए. डी. के बीच क्या आदान-प्रदान होता है,answer_query,hwu64
कम स्टॉक मूल्य,answer_query,massive
कृपया अगले जन्मदिन के कार्यक्रम को मिटा दें,cancel,hwu64
मेरा अगला कार्यक्रम रद्द करें,cancel,hwu64
"क्षमा करें, लेकिन यह सही नहीं है।",cancel,hwu64
यह सरासर गलत है,cancel,clinc150
खरीदारी सूची से रोटी हटा दें,cancel,hwu64
अट्ठाईस मार्च को कैलेंडर से घटनाओं को हटा दें,cancel,hwu64
सूची हटा दो,cancel,massive
मई के लिए कैलेंडर से जन्मदिन की पार्टी ले लो,cancel,massive
कैलेंडर में अगली घटना को हटा दें,cancel,hwu64
कल की मेरी बैठक रद्द करें,cancel,hwu64
मेरे अलार्म बंद करो,cancel,massive
अलार्म की साप्ताहिक सेटिंग बदलें,cancel,hwu64
अंतिम सूचीबद्ध वस्तु को हटा दें,cancel,hwu64
सभी अलार्म हटाओ अगर कोई है,cancel,massive
मुझे किसी की परवाह नहीं है।,cancel,hwu64
कृपया मैंने जो कहा वह करना बंद करें,cancel,clinc150
यह वास्तव में गलत है,cancel,clinc150
मेरी दंत चिकित्सक नियुक्ति हटाएं,cancel,massive
आज दोपहर तीन बजे के बाद मेरी सभी मुलाकातों को रद्द कर दें और मुझे विवरण दें,cancel,hwu64
खुश नृत्य प्लेलिस्ट हटाएँ,cancel,hwu64
कल पशु चिकित्सक से मिलने का समय निकाल दें।,cancel,hwu64
"ओह नहीं, आपने मुझे सही जानकारी नहीं दी।",cancel,hwu64
उसे हटा दें,cancel,massive
हर कार्यक्रम को हटा दें,cancel,hwu64
"यह मेरे लिए कोई मायने नहीं रखता, ओली।",cancel,hwu64
गुरुवार को सहकर्मियों के साथ दोपहर का भोजन हटा दें,cancel,hwu64
सूची में से आइटम हटा दो,cancel,massive
कैलेंडर से नववर्ष की पूर्वसंध्या हटाएं,cancel,massive
स्थिर से पेंसिल हटाएँ,cancel,hwu64
मेरा सुबह नौ बजे का अलार्म साफ़ करो,cancel,massive
मेन्यू में सब कुछ हटा दें,cancel,hwu64
यह गलत था चलो फिर से कोशिश करते हैं।,cancel,hwu64
दो अप्रैल को मेरे कार्यक्रम से कूल्हा प्रदर्शन हटा दें,cancel,massive
उन्नीस सौ नब्बे से कर सूची से छुटकारा पाएं,cancel,hwu64
"ओली यह काफी है, बस रद्द कर दें।",cancel,hwu64
सुबह चार बजे दस बजे का अलार्म रद्द करें,cancel,hwu64
आप मुझे गलत समझते हैं।,cancel,hwu64
मैं अब राम की बर्थडे पार्टी में नहीं जा रहा हूँ,cancel,massive
वैलेंटाइन्स दिवस के आयोजन कैलेंडर से रद्द करें,cancel,massive
मेरी किराने की सूची हटा दें,cancel,hwu64
मुझे सप्ताहांत पर मत जगाओ,cancel,massive
"रुकिए, यह सही आदेश नहीं है।",cancel,hwu64
कृपया दुबारा प्रारंभ करें और कैलेंडर में सभी प्रविष्टियों को हटा दें,cancel,massive
सभी निर्धारित आयोजन मिटायें,cancel,massive
डेटाबेस से list हटाएं,cancel,massive
मेरे वर्तमान अलार्मों से छुटकारा पाएं,cancel,hwu64
अलार्म हटा दें,cancel,hwu64
आज के लिए सेट किए गए सभी अलार्मों को निष्क्रिय करें,cancel,hwu64
सूची से फलों को हटाओ,cancel,massive
"मुझे विश्वास नहीं है कि यह संभव है, यह गलत है",cancel,clinc150
शाम के पाँच बजे के अलार्म को हटा दें,cancel,hwu64
क्या आप बंद कर सकते हैं,cancel,clinc150
मेरी टू डू लिस्ट को हटा दें,cancel,massive
"हम्म, सही जवाब नहीं।",cancel,hwu64
मेरा अगला कैलेंडर ईवेंट मिटाएं,cancel,massive
"क्षमा करें, आप वास्तव में इसे रोक सकते हैं",cancel,clinc150
यह सच नहीं है,cancel,clinc150
मैं अब कल दोपहर के भोजन के लिए माँ के साथ नहीं जाऊँगा,cancel,massive
इससे कोई फर्क नहीं पड़ता।,cancel,hwu64
मेरे पूरे कैलेंडर से सभी कार्यक्रमों को हटा दें,cancel,massive
कैलेंडर से मेरी वर्तमान कार्यक्रम को मिटा दें,cancel,massive
कल के लिए मेरी नियुक्तियों की सूची हटा दें,cancel,hwu64
कृपया तेईस मार्च के कार्यक्रम से मेरे दोपहर के प्रीतिभोज को हटा दें,cancel,massive
बढ़िया,cancel,massive
कृपया खरीदारी सूची हटा दें,cancel,hwu64
मेरे कैलेंडर से पन्द्रह तारीख को मेरी car payment हटा दें,cancel,massive
निम्नलिखित सूची को हटा दें,cancel,hwu64
कल मेरा जल्दी का अलार्म हटाएं,cancel,massive
पँचिश मार्च के लिए बुक किए गए रेस्तरां में दोपहर का भोजन रद्द कर देता है,cancel,hwu64
ओली मुझे पसंद है कि आप रद्द कर दें।,cancel,hwu64
क्या आप कृपया अपने कैलेंडर पर उस पार्टी को नजरअंदाज कर सकते हैं जिसमें मैं इस सप्ताह के अंत में जा रहा हूँ,cancel,hwu64
एक सूची डिलीट कर दो,cancel,massive
"नहीं, आपको वह नहीं मिलता जो मैंने अभी-अभी माँगा था।",cancel,hwu64
चार सौ बजे के लिए सेट किए गए अलार्म को हटा दें,cancel,hwu64
कैलेंडर आयोजन सभी साफ़ करें,cancel,massive
अगर अलार्म है तो उसे हटाएं,cancel,massive
ओली कृपया क्या आप रद्द कर सकते हैं।,cancel,hwu64
मेरे साथ कुछ भी ठीक है।,cancel,hwu64
आप इसे ठीक से नहीं समझते हैं।,cancel,hwu64
अगले बुधवार को चर्च में होली पार्टी को हटा दें,cancel,massive
मेरे सभी कैलेंडर ईवेंट हटाएं,cancel,massive
कैलेंडर से सारे डाटा को मिटा दो,cancel,massive
मेरी इच्छा सूची से तितली क्लिप हटा दें,cancel,hwu64
मैं चाहता हूं कि आप मेरे कैलेंडर से दसवीं की शादी को हटा दें,cancel,massive
डॉक्टर की नियुक्ति को हटा दें मैंने अपने कैलेंडर में फरवरी बारहवीं सुबह नौ बजे जोड़ा है,cancel,massive
"इतना ही काफी है, कृपया और न कहें",cancel,clinc150
आयोजन हटाएं,cancel,massive
मेरा केलेंडर का विवरण सब मिटाओ,cancel,massive
अगले दो हफ्तों के लिए मेरे कैलेंडर पर सब कुछ हटा दें,cancel,hwu64
बीसवें सप्ताह के लिए सभी शिक्षण कार्यक्रम हटा दें,cancel,massive
मेरे कैलेंडर पर सब कुछ से छुटकारा पाएं,cancel,massive
नहीं इसका जवाब है,cancel,clinc150
मेरी खरीदारी सूची से केले हटाओ,cancel,massive
सूची से किताब को हटाओ,cancel,massive
यह गलत है!,cancel,clinc150
अगली प्रतिस्पर्धा हटाएं,cancel,massive
कृपया मेरे कैलेंडर को पहले दिन पर रीसेट करें,cancel,massive
"मेरा अंतिम अनुरोध रद्द करें, मुझे जवाब पता है",cancel,clinc150
ओली क्या आप बंद कर देंगे?,cancel,hwu64
ओली क्या आप कृपया बंद कर देंगे।,cancel,hwu64
कृपया इस अलार्म को हटा दें,cancel,massive
शाम को आज की बैठक हटा दें,cancel,hwu64
क्षमा करें लेकिन यह सही जवाब नहीं है।,cancel,hwu64
कैलेंडर ईवेंट हटाएं,cancel,massive
कैलेंडर आयोजन हटाएं,cancel,massive
क्या आप कृपया मेरे कैलेंडर से सभी ईवेंट हटा सकते हैं,cancel,massive
उस अंतिम आदेश को रद्द करें,cancel,clinc150
मेरा अलार्म बंद कर दो,cancel,hwu64
कृपया किराने की सूची हटा दें,cancel,hwu64
सोमवार को सुबह साढ़े सात बजे का अलार्म हटा दें,cancel,massive
मुझे आज अपनी कार के तेल नहीं बदलवा पाऊंगा,cancel,massive
सभी कैलेंडर ईवेंट मिटाएं,cancel,massive
क्या आप बंद कर देंगे?,cancel,hwu64
जानकारी गलत है,cancel,clinc150
ओली आपसे बाद में बात करें।,cancel,hwu64
"इससे वास्तव में कोई फर्क नहीं पड़ता, ओली।",cancel,hwu64
ओली क्या आप रुकेंगे?,cancel,hwu64
एक बजे हटा दिया गया,cancel,hwu64
मेरे कैलेंडर में आज की अगली बैठक हटा दें,cancel,massive
वर्तमान प्रक्रिया को समाप्त करें,cancel,clinc150
कृपया आप चुप रहें।,cancel,hwu64
उफ़ इसे रद्द करें,cancel,clinc150
"बस इतना ही, बंद करो।",cancel,hwu64
कृपया रोकें,cancel,clinc150
मेरे पूरे कैलेंडर से हर एक आयोजन को साफ़ करें,cancel,massive
वास्तव में कोई फर्क नहीं पड़ेगा।,cancel,hwu64
क्या तुम वर्तमान के आयोजन डिलीट कर सकते हो,cancel,massive
सभी सूचियों को हटा दें,cancel,hwu64
"इतना ही काफ़ी है, इसे बंद करो।",cancel,hwu64
स्मरण लेख खोलें,cancel,massive
मुझे विश्वास नहीं है कि यह सही है,cancel,clinc150
मैं असहमत हूं कि यह गलत है,cancel,clinc150
यह मेरी ओर से एक कठिन नहीं है,cancel,clinc150
मुझे अब डॉक्टर को देखने की ज़रूरत नहीं है क्या उस घटना को हटाया जा सकता है,cancel,massive
ओली सूचीबद्ध अंतिम वस्तु हटाएं,cancel,massive
"नहीं, ऐसा मत करो।",cancel,clinc150
कृपया मुझे कैलेंडर से सब कुछ हटाना चाहिए,cancel,hwu64
